index,response,tag
184,"To correct, follow the procedure below.
 1. Print your application form. Use legal size (8.5”X 13”) bond paper for printing the form.
 2. To remove errors, use correction tape. Write neatly the correct using a blue ballpen.
 3. Add your initials or signature next to the updated information.
 Note: Do not use pdf editor",13
185,"To fix the application form, follow the procedure below.
 1. Print your application form. Use legal size (8.5”X 13”) bond paper for printing the form.
 2. To remove errors, use correction tape. Write neatly the correct using a blue ballpen.
 3. Add your initials or signature next to the updated information.
 Note: Do not use pdf editor",13
186,"For the correction, follow the procedure below.
 1. Print your application form. Use legal size (8.5”X 13”) bond paper for printing the form.
 2. To remove errors, use correction tape. Write neatly the correct using a blue ballpen.
 3. Add your initials or signature next to the updated information.
 Note: Do not use pdf editor",13
187,"You can choose any on the options below
 Option 1: Submit your BUCET application requirements to your High School Counselor or to any authorized school representative.
 Option 2: Submit your BUCET application requirements to the Bicol University Admissions Office (ONSITE) during your appointed submissions date.
 Option 3: Mail your BUCET application documents through any courier service available in your locality",14
188,"Choose what's more convenient to you
 Option 1: Submit your BUCET application requirements to your High School Counselor or to any authorized school representative.
 Option 2: Submit your BUCET application requirements to the Bicol University Admissions Office (ONSITE) during your appointed submissions date.
 Option 3: Mail your BUCET application documents through any courier service available in your locality",14
189,"Here's the option you can make
 Option 1: Submit your BUCET application requirements to your High School Counselor or to any authorized school representative.
 Option 2: Submit your BUCET application requirements to the Bicol University Admissions Office (ONSITE) during your appointed submissions date.
 Option 3: Mail your BUCET application documents through any courier service available in your locality",14
190,"Here's the list you can do
 Option 1: Submit your BUCET application requirements to your High School Counselor or to any authorized school representative.
 Option 2: Submit your BUCET application requirements to the Bicol University Admissions Office (ONSITE) during your appointed submissions date.
 Option 3: Mail your BUCET application documents through any courier service available in your locality",14
191,"To submit, you can choose what's the best for you
 Option 1: Submit your BUCET application requirements to your High School Counselor or to any authorized school representative.
 Option 2: Submit your BUCET application requirements to the Bicol University Admissions Office (ONSITE) during your appointed submissions date.
 Option 3: Mail your BUCET application documents through any courier service available in your locality",14
192,"You can choose any on the options below
 Option 1:   Claim your test permit from your High School Counselor or authorized school representative.
 Option 2: BU Admissions office (Onsite during appointment date)
 Option 3:  Your temporary test permit will be emailed to you at your official email address indicated in the form.",15
193,"Choose what's more convenient to you
 Option 1:   Claim your test permit from your High School Counselor or authorized school representative.
 Option 2: BU Admissions office (Onsite during appointment date)
 Option 3:  Your temporary test permit will be emailed to you at your official email address indicated in the form.",15
194,"Here's the ways you can do
 Option 1:   Claim your test permit from your High School Counselor or authorized school representative.
 Option 2: BU Admissions office (Onsite during appointment date)
 Option 3:  Your temporary test permit will be emailed to you at your official email address indicated in the form.",15
195,"Here's the list you can choose
 Option 1:   Claim your test permit from your High School Counselor or authorized school representative.
 Option 2: BU Admissions office (Onsite during appointment date)
 Option 3:  Your temporary test permit will be emailed to you at your official email address indicated in the form.",15
196,"To claim, you have three optionsyou can choose what's the best for you
 Option 1:   Claim your test permit from your High School Counselor or authorized school representative.
 Option 2: BU Admissions office (Onsite during appointment date)
 Option 3:  Your temporary test permit will be emailed to you at your official email address indicated in the form.",15
197,"No need, But make sure to verify that your application requirements have been submitted to the admissions office before the scheduled deadline for the test center.",16
198,"No need, But ensure that your application requirements have been received and processed by the admissions office before the scheduled deadline for the test center.",16
199,"No need, But confirm with certainty that your application requirements have reached the admissions office before the scheduled deadline for the test center.",16
200,"No need, But ensure that your application requirements have been successfully delivered to the admissions office before the scheduled deadline for the test center.",16
201,"No need, But double-check and ensure that your application requirements have reached the admissions office before the scheduled deadline for the test center.",16
202,"No need, But it is crucial to ensure that your application requirements have been received and acknowledged by the admissions office before the scheduled deadline for the test center.",16
203,"No need, But verify that your application requirements have been acknowledged and recorded by the admissions office before the scheduled deadline for the test center.",16
204,"No need, But check to ensure that your application requirements have been duly received and processed by the admissions office before the scheduled deadline for the test center.",16
205,"No need, But it is essential to verify that your application requirements have been duly acknowledged and processed by the admissions office before the scheduled deadline for the test center.",16
206,"No need, But confirm that your application requirements have been properly received and documented by the admissions office before the scheduled deadline for the test center.",16
207,"No need, But ensure with certainty that your application requirements have been duly received and documented by the admissions office before the scheduled deadline for the test center.",16
208,"No need, But make sure to confirm that your application requirements have been properly received and accounted for by the admissions office before the scheduled deadline for the test center.",16
209,"No need, But double-check to ensure that your application requirements have been properly received and accounted for by the admissions office before the scheduled deadline for the test center.",16
210,"No need, But it is crucial to double-check and confirm that your application requirements have been properly received and documented by the admissions office before the scheduled deadline for the test center.",16
211,"No need, But ensure that your application requirements have been properly received and recorded by the admissions office before the scheduled deadline for the test center.",16
212,"No need, But verify with certainty that your application requirements have been properly received and recorded by the admissions office before the scheduled deadline for the test center.",16
213,"No need, But make sure to double-check and confirm that your application requirements have been properly received and processed by the admissions office before the scheduled deadline for the test center.",16
214,"No need, But it is essential to verify with certainty that your application requirements have been properly received and processed by the admissions office before the scheduled deadline for the test center.",16
215,"No need, But confirm that your application requirements have been properly received and acknowledged by the admissions office before the scheduled deadline for the test center.",16
216,"No need, But ensure with certainty that your application requirements have been properly received and acknowledged by the admissions office before the scheduled deadline for the test center.",16
217,"No need, But make sure to verify that your application requirements have been properly received and acknowledged by the admissions office before the scheduled deadline for the test center.",16
218,"No need, But double-check and confirm that your application requirements have been properly received and acknowledged by the admissions office before the scheduled deadline for the test center.",16
219,"No need, But it is crucial to ensure that your application requirements have been properly received and acknowledged by the admissions office before the scheduled deadline for the test center.",16
220,"No need, But verify that your application requirements have been properly received and processed by the admissions office before the scheduled deadline for the test center.",16
221,"No need, But ensure with certainty that your application requirements have been properly received and processed by the admissions office before the scheduled deadline for the test center.",16
222,"No need, But make sure to double-check and confirm that your application requirements have been properly received and processed by the admissions office before the scheduled deadline for the test center.",16
223,"No need, But it is essential to verify with certainty that your application requirements have been properly received and processed by the admissions office before the scheduled deadline for the test center.",16
224,"No need, But confirm that your application requirements have been properly received and documented by the admissions office before the scheduled deadline for the test center.",16
225,"No need, But ensure with certainty that your application requirements have been properly received and documented by the admissions office before the scheduled deadline for the test center.",17
226,"No need, But double-check that your application requirements reach the admissions office before the test center's deadline.",17
227,"No need, But confirm that your application materials have been delivered to the admissions office prior to the test center's deadline.",17
228,"No need, But guarantee your application requirements are in the possession of the admissions office before the test center's deadline.",17
229,"No need, But assure that your application documents are in the hands of the admissions office prior to the test center's deadline.",17
230,"No need, But be sure your application requirements have reached the admissions office prior to the test center's deadline.",17
231,"No need, But ensure the admissions office has received your application materials before the test center's deadline.",17
232,"No need, But validate that your application requirements have been submitted to the admissions office before the test center's deadline.",17
233,"No need, But confirm your application materials have been delivered to the admissions office before the test center's deadline.",17
234,"No need, But make sure your application requirements are received by the admissions office prior to the test center's deadline.",17
235,"No need, But guarantee your application documents are in the possession of the admissions office before the test center's deadline.",17
236,"No need, But double-check your application materials are submitted to the admissions office before the test center's deadline.",17
237,"No need, But verify your application requirements have reached the admissions office prior to the test center's deadline.",17
238,"No need, But ensure your application documents are in the hands of the admissions office before the test center's deadline.",17
239,"No need, But confirm your application materials have been delivered to the admissions office before the test center's deadline.",17
240,"No need, But assure your application requirements have been received by the admissions office before the test center's deadline.",17
241,"No need, But make certain the admissions office has received your application materials before the test center's deadline.",17
242,"No need, But guarantee that your application requirements have reached the admissions office before the test center's deadline.",17
243,"No need, But be sure your application documents are submitted to the admissions office before the test center's deadline.",17
244,"No need, But validate your application requirements are in the possession of the admissions office before the test center's deadline.",17
245,"No need, But confirm that your application materials have been received by the admissions office before the test center's deadline.",17
246,"No need, But ensure your application requirements have been delivered to the admissions office before the test center's deadline.",17
247,"No need, But double-check your application materials have reached the admissions office before the test center's deadline.",17
248,"No need, But verify that your application documents are submitted to the admissions office before the test center's deadline.",17
249,"No need, But guarantee your application requirements are in the hands of the admissions office before the test center's deadline.",17
250,"No need, But assure your application materials have been received by the admissions office before the test center's deadline.",17
251,"No need, But make certain your application requirements have been delivered to the admissions office before the test center's deadline.",17
252,"No need, But be sure the admissions office has received your application materials before the test center's deadline.",17
253,"No need, But confirm your application requirements are submitted to the admissions office before the test center's deadline.",17
254,"BU Admission office is located on Bicol University-Main Campus Gate 4, Ground Admissions Office Legazpi City, Albay, 4500",18
255,"The address of the BU Admission Office is in Bicol University-Main Campus Gate 4, Ground Admissions Office Legazpi City, Albay, 4500",18
256,"Bicol University-Main Campus Gate 4, Ground Admissions Office Legazpi City, Albay, 4500",18
257,"The format must be:
 Recent 2x2
 Unedited or Unfiltere4d studio-taken
 In white background
 With Signature
 With name tag",19
258,"Format of the picture must be:
 Recent 2x2
 Unedited or Unfiltere4d studio-taken
 In white background
 With Signature
 With name tag",19
259,Attain your postage stamp at the post office,20
260,Get your postage stamp from the post office,20
261,Obtain your mailing stamp from the post office,20
262,Secure your mailing stamp at the post office,20
263,Collect your mailing stamp at the post office,20
264,Gather your mailing stamp from the post office,20
265,Obtain your postage stamp conveniently from the post office,20
266,Secure your postage stamp easily at the post office,20
267,Collect your postage stamp swiftly at the post office,20
268,"The mailing stamp's cost could exceed Php. 50, but it won't be below Php. 50.00.",21
269,"The price of the mailing stamp may be higher than Php. 50, but it will not be less than Php. 50.00.",21
270,"The mailing stamp might cost more than Php. 50, but it won't be below Php. 50.00.",21
271,"The cost of the mailing stamp could exceed Php. 50, but it won't be lower than Php. 50.00.",21
272,"The price of the mailing stamp may surpass Php. 50, but it won't fall under Php. 50.00.",21
273,"The mailing stamp might be more than Php. 50, but it won't be less than Php. 50.00.",21
274, Affix it onto the upper right corner of the long-sized window mailing envelope.,22
275,Place it firmly on the upper-right corner of the long-sized window mailing envelope.,22
276,Stick it securely to the upper right-hand corner of the long-sized window mailing envelope.,22
277,Adhere it firmly to the top right corner of the long-sized window mailing envelope.,22
278,Position it securely at the upper right corner of the long-sized window mailing envelope.,22
279,Attach it securely to the upper right-hand corner of the long-sized window mailing envelope.,22
280,Affix it firmly to the top right-hand corner of the long-sized window mailing envelope.,22
281,Place it securely in the upper right corner of the long-sized window mailing envelope.,22
282,Stick it firmly in the upper-right corner of the long-sized window mailing envelope.,22
283,Adhere it securely in the upper right-hand corner of the long-sized window mailing envelope.,22
284,Position it firmly at the top right corner of the long-sized window mailing envelope.,22
285,Attach it securely at the upper right corner of the long-sized window mailing envelope.,22
286,Affix it securely onto the upper right corner of the long-sized window mailing envelope.,22
287,Place it securely on the upper-right corner of the long-sized window mailing envelope.,22
288,Stick it firmly to the upper right-hand corner of the long-sized window mailing envelope.,22
289,Adhere it securely to the top right corner of the long-sized window mailing envelope.,22
290,Position it firmly in the upper right-hand corner of the long-sized window mailing envelope.,22
291,Attach it securely to the top right corner of the long-sized window mailing envelope.,22
292,Affix it securely in the upper-right corner of the long-sized window mailing envelope.,22
293,Place it securely onto the upper right corner of the long-sized window mailing envelope.,22
294,Stick it firmly in the upper right-hand corner of the long-sized window mailing envelope.,22
295,Adhere it securely at the top right corner of the long-sized window mailing envelope.,22
296,Position it firmly on the upper right corner of the long-sized window mailing envelope.,22
297,Attach it securely at the upper right-hand corner of the long-sized window mailing envelope.,22
298,Affix it securely to the top right-hand corner of the long-sized window mailing envelope.,22
299,Place it securely in the upper-right corner of the long-sized window mailing envelope.,22
300,Stick it firmly onto the upper right corner of the long-sized window mailing envelope.,22
301,Adhere it securely to the upper right-hand corner of the long-sized window mailing envelope.,22
302,Position it firmly at the top right-hand corner of the long-sized window mailing envelope.,22
303,Your parents' certificate of contract is required for processing.,23
